1000	0	0	0
1100	0	0	0
1200	0	1e-06	0
1300	0	0	1e-06
1400	0	1e-06	0
1500	0	0	1e-06
1600	0	0	1e-06
1700	0	0	0
1800	0	0	1e-06
1900	1e-06	0	0
2000	0	0	0
2100	0	0	0
2200	0	0	0
2300	0	0	0
2400	0	0	1e-06
2500	0	0	1e-06
2600	1e-06	0	0
2700	0	1e-06	0
2800	0	0	0
2900	0	0	1e-06
3000	0	1e-06	0
3100	0	1e-06	0
3200	0	0	0
3300	0	0	0
3400	0	0	0
3500	1e-06	0	0
3600	0	0	0
3700	0	0	1e-06
3800	0	0	1e-06
3900	0	0	0
4000	0	0	0
4100	0	0	1e-06
4200	0	1e-06	0
4300	0	0	1e-06
4400	0	0	0
4500	0	1e-06	0
4600	0	0	0
4700	1e-06	0	0
4800	0	0	0
4900	0	0	0
5000	0	0	0
5100	0	0	0
5200	0	0	0
5300	0	0	0
5400	0	0	0
5500	0	1e-06	0
5600	0	0	1e-06
5700	0	0	0
5800	0	0	0
5900	0	0	1e-06
6000	0	0	0
6100	0	1e-06	0
6200	1e-06	0	0
6300	1e-06	0	1e-06
6400	0	0	1e-06
6500	0	0	0
6600	1e-06	0	1e-06
6700	0	0	1e-06
6800	0	1e-06	0
6900	0	0	1e-06
7000	0	1e-06	0
7100	0	0	1e-06
7200	0	1e-06	0
7300	0	1e-06	0
7400	0	0	0
7500	1e-06	0	1e-06
7600	0	0	0
7700	0	0	1e-06
7800	0	0	1e-06
7900	0	0	0
8000	0	0	0
8100	0	1e-06	0
8200	0	0	1e-06
8300	0	0	0
8400	0	0	0
8500	0	0	1e-06
8600	0	1e-06	0
8700	0	0	0
8800	0	0	0
8900	1e-06	0	1e-06
9000	0	1e-06	0
9100	0	0	0
9200	1e-06	0	1e-06
9300	0	0	0
9400	0	0	0
9500	0	0	0
9600	0	0	0
9700	0	0	0
9800	0	0	1e-06
9900	0	0	0
10000	0	1e-06	0
10100	0	0	1e-06
10200	0	0	0
10300	0	0	0
10400	0	0	0
10500	0	0	0
10600	0	0	0
10700	0	1e-06	0
10800	0	0	1e-06
10900	0	0	0
